start_point_id,minIndex,minDistSquare
163,2.0,0.0016861743426
164,1.0,0.00369504579157
165,1.0,0.0038708901283
166,1.0,0.00417034711318
167,2.0,0.00427060711265
168,1.0,0.00457601623271
169,2.0,0.00197426305813
170,1.0,0.00404042499665
171,1.0,0.00302893326902
172,2.0,0.00411067959279
173,1.0,0.0036407462165
174,1.0,0.00340456508486
175,1.0,0.00411899416563
176,1.0,0.00722857807754
177,1.0,0.00197609868599
178,1.0,0.00228330054512
179,1.0,0.00157195612703
180,2.0,0.00183079183475
181,1.0,0.00433205473614
182,2.0,0.00116667043386
183,2.0,0.00172114391888
184,2.0,0.00199281295723
185,1.0,0.00414738738767
186,2.0,0.00206863621551
187,1.0,0.00326838762351
188,1.0,0.00344001179838
189,2.0,0.00195142462841
190,1.0,0.0270085459515
191,1.0,0.0029398027904
192,2.0,0.0120924183505
193,1.0,0.006386146338
194,1.0,0.00304639830533
195,1.0,0.00335725653478
196,2.0,0.00169541108775
197,2.0,0.00227693990865
198,2.0,0.017387927702
199,1.0,0.00771761022767
200,2.0,0.0027430359413
201,2.0,0.00195374319678
202,2.0,0.00191661501866
203,1.0,0.0014477618442
204,1.0,0.00472452287975
205,1.0,0.00292284032301
206,2.0,0.00226547792603
207,2.0,0.00174232267364
208,1.0,0.00366513516194
209,2.0,0.00271780201064
210,1.0,0.00359523742237
211,2.0,0.0028742524074
212,1.0,0.00318943748146
213,2.0,0.00204513589892
214,2.0,0.00155765730553
215,1.0,0.00220447262447
216,1.0,0.00110168518113
217,2.0,0.00228358086593
218,1.0,0.0108681667069
219,2.0,0.00103905691773
220,2.0,0.0011439855613
221,2.0,0.00200338161639
222,2.0,0.0025808940209
223,1.0,0.00276662219561
224,2.0,0.00228183972336
225,1.0,0.00942758067219
226,1.0,0.00341815320079
227,1.0,0.00420611305963
228,1.0,0.00257341825953
229,2.0,0.0115237696125
230,2.0,0.00231876988065
231,1.0,0.00304452235641
232,1.0,0.00203770683317
233,1.0,0.00330342588993
